tconst	primaryTitle	titleType	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	combined_features
tt0134969	Soccer Dog: The Movie	movie	Soccer Dog: The Movie	0	1999	\N	98	Comedy,Family,Sport	movie Soccer Dog: The Movie Soccer Dog: The Movie 0 1999 \N 98 Comedy,Family,Sport
tt0134971	Soldier, Sailor	movie	Soldier, Sailor	0	1944	\N	51	Documentary,Drama,War	movie Soldier, Sailor Soldier, Sailor 0 1944 \N 51 Documentary,Drama,War
tt0134974	Soundman	movie	Soundman	0	1998	\N	105	Comedy,Crime,Thriller	movie Soundman Soundman 0 1998 \N 105 Comedy,Crime,Thriller
tt0134975	Early Spring Story	movie	Sôshun monogatari	0	1985	\N	96	Drama,Romance	movie Early Spring Story Sôshun monogatari 0 1985 \N 96 Drama,Romance
tt0134980	The Square Root of Negative Three	movie	The Square Root of Negative Three	0	1991	\N	\N	\N	movie The Square Root of Negative Three The Square Root of Negative Three 0 1991 \N \N \N
tt0134983	Supernova	movie	Supernova	0	2000	\N	90	Horror,Sci-Fi,Thriller	movie Supernova Supernova 0 2000 \N 90 Horror,Sci-Fi,Thriller
tt0134985	Surrender in Paradise	movie	Surrender in Paradise	1	1985	\N	87	Adult,Adventure	movie Surrender in Paradise Surrender in Paradise 1 1985 \N 87 Adult,Adventure
tt0134988	Taboo IV: The Younger Generation	movie	Taboo IV: The Younger Generation	1	1985	\N	105	Adult,Drama	movie Taboo IV: The Younger Generation Taboo IV: The Younger Generation 1 1985 \N 105 Adult,Drama
tt0134989	Addicted to Murder: Tainted Blood	movie	Addicted to Murder: Tainted Blood	0	1998	\N	74	Horror	movie Addicted to Murder: Tainted Blood Addicted to Murder: Tainted Blood 0 1998 \N 74 Horror
tt0134990	Takiaispallo	movie	Takiaispallo	0	1970	\N	79	Drama	movie Takiaispallo Takiaispallo 0 1970 \N 79 Drama
tt0134993	Nocturnal Uproar	movie	Tapage nocturne	0	1979	\N	97	Drama	movie Nocturnal Uproar Tapage nocturne 0 1979 \N 97 Drama
tt0134994	Tasmania Story	movie	Tasumania monogatari	0	1990	\N	110	\N	movie Tasmania Story Tasumania monogatari 0 1990 \N 110 \N
tt0134995	Teach Our Children	movie	Teach Our Children	0	1980	\N	\N	Documentary	movie Teach Our Children Teach Our Children 0 1980 \N \N Documentary
tt0134996	Teerandaz	movie	Teerandaz	0	1956	\N	\N	Action,Adventure,Drama	movie Teerandaz Teerandaz 0 1956 \N \N Action,Adventure,Drama
tt0134997	Land in Between	movie	Terra di mezzo	0	1996	\N	78	Drama	movie Land in Between Terra di mezzo 0 1996 \N 78 Drama
tt0134998	This Butt Stops Here	movie	This Butt Stops Here	1	1990	\N	73	Adult	movie This Butt Stops Here This Butt Stops Here 1 1990 \N 73 Adult
tt0134999	Traja svedkovia	movie	Traja svedkovia	0	1968	\N	108	Drama,History	movie Traja svedkovia Traja svedkovia 0 1968 \N 108 Drama,History
tt0135004	Toy Box Lingerie Show	movie	Toy Box Lingerie Show	1	1991	\N	\N	Adult	movie Toy Box Lingerie Show Toy Box Lingerie Show 1 1991 \N \N Adult
tt0135005	Traktir na Pyatnitskoy	movie	Traktir na Pyatnitskoy	0	1978	\N	85	Crime,Mystery	movie Traktir na Pyatnitskoy Traktir na Pyatnitskoy 0 1978 \N 85 Crime,Mystery
tt0135006	Tre minuti a mezzanotte	movie	Tre minuti a mezzanotte	0	1995	\N	\N	\N	movie Tre minuti a mezzanotte Tre minuti a mezzanotte 0 1995 \N \N \N
tt0135007	Three Men and a Leg	movie	Tre uomini e una gamba	0	1997	\N	100	Comedy	movie Three Men and a Leg Tre uomini e una gamba 0 1997 \N 100 Comedy
tt0135012	Trouble Maker	movie	Trouble Maker	1	1990	\N	75	Adult	movie Trouble Maker Trouble Maker 1 1990 \N 75 Adult
tt0135013	Free and Easy 2	movie	Tsuribaka nisshi 2	0	1989	\N	96	Comedy	movie Free and Easy 2 Tsuribaka nisshi 2 0 1989 \N 96 Comedy
tt0135014	Windy Day	movie	Tuulinen päivä	0	1962	\N	75	Drama,Romance	movie Windy Day Tuulinen päivä 0 1962 \N 75 Drama,Romance
tt0135016	Twin Peeks	movie	Twin Peeks	1	1991	\N	\N	Adult	movie Twin Peeks Twin Peeks 1 1991 \N \N Adult
tt0135018	Tyttö lähtee kasarmiin	movie	Tyttö lähtee kasarmiin	0	1956	\N	73	Comedy	movie Tyttö lähtee kasarmiin Tyttö lähtee kasarmiin 0 1956 \N 73 Comedy
tt0135019	Tú, yo, nosotros	movie	Tú, yo, nosotros	0	1972	\N	108	Drama	movie Tú, yo, nosotros Tú, yo, nosotros 0 1972 \N 108 Drama
